System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.10.35.662667,0,0,0,0,0,0,0
08.10.35.697310,52,0,0,0,0,0,0
08.10.35.754310,79,0,0,0,0,0,0
08.10.35.783506,136,0,0,0,0,0,0
08.10.35.833566,166,0,0,0,0,0,0
08.10.35.883302,216,0,0,0,0,0,0
08.10.35.932823,265,0,0,0,0,0,0
08.10.35.982383,314,0,0,0,0,0,0
08.10.36.033073,364,0,0,0,0,0,0
08.10.36.079613,-585,0,0,0,0,0,0
08.10.36.131973,-538,0,0,0,0,0,0
08.10.36.181686,-487,0,0,0,0,0,0
08.10.36.231163,-437,0,0,0,0,0,0
08.10.36.280795,-387,0,0,0,0,0,0
08.10.36.330218,-338,0,0,0,0,0,0
08.10.36.380255,-288,0,0,0,0,0,0
08.10.36.430199,-238,0,0,0,0,0,0
08.10.36.479726,-188,0,0,0,0,0,0
08.10.36.530032,-139,0,0,0,0,0,0
08.10.36.578823,-88,0,0,0,0,0,0
08.10.36.629072,-40,0,0,0,0,0,0
08.10.36.678135,11,0,0,0,0,0,0
08.10.36.728120,60,0,0,0,0,0,0
08.10.36.777879,110,0,0,0,0,0,0
08.10.36.827453,159,0,0,0,0,0,0
08.10.36.877194,209,0,0,0,0,0,0
08.10.36.926723,259,0,0,0,0,0,0
08.10.36.976477,308,0,0,0,0,0,0
08.10.37.010098,358,0,0,0,0,0,0
08.10.37.059107,-608,0,0,0,0,0,0
08.10.37.109247,-559,0,0,0,0,0,0
08.10.37.159326,-509,0,0,0,0,0,0
08.10.37.208247,-459,0,0,0,0,0,0
08.10.37.258125,-410,0,0,0,0,0,0
08.10.37.307750,-360,0,0,0,0,0,0
08.10.37.357244,-311,0,0,0,0,0,0
08.10.37.407499,-261,0,0,0,0,0,0
08.10.37.456767,-211,0,0,0,0,0,0
08.10.37.490387,-162,0,0,0,0,0,0
08.10.37.539925,-128,0,0,0,0,0,0
08.10.37.589485,-79,0,0,0,0,0,0
08.10.37.639674,-29,0,0,0,0,0,0
08.10.37.673306,21,0,0,0,0,0,0
08.10.37.721950,55,0,0,0,0,0,0
08.10.37.771703,103,0,0,0,0,0,0
08.10.37.822385,153,0,0,0,0,0,0
08.10.37.871262,204,0,0,0,0,0,0
08.10.37.904667,253,0,0,0,0,0,0
08.10.37.953993,286,0,0,0,0,0,0
08.10.37.987489,335,0,0,0,0,0,0
08.10.38.037243,369,0,0,0,0,0,0
08.10.38.086642,-581,0,0,0,0,0,0
08.10.38.136965,-532,0,0,0,0,0,0
08.10.38.172734,-482,0,0,0,0,0,0
08.10.38.225196,-446,0,0,0,0,0,0
08.10.38.260741,-393,0,0,0,0,0,0
08.10.38.294770,-358,0,0,0,0,0,0
08.10.38.344828,-324,0,0,0,0,0,0
08.10.38.373873,-273,0,0,0,0,0,0
